 Elevation, residuals, C/No Max, C/No Min, C/No Delta, MaxCno2Second, Delta Carrier phase, deltaCorrected PR, 2nd delta,PS Residual, Los Value
15,-22397634.07,7,7,0,20,17657.48,552.45,-23507.55,17830012.97,NLOS
15,-22415279.67,7,7,0,19,17655.71,550.39,2.07,17829462.37,NLOS
28,-1814326.69,8,7,-1,21,18255.58,62.38,21.53,2356.49,NLOS
35,-12144039.18,8,7,-1,9,17703.9,502.2,-0.78,67.7,NLOS
26,-15226977.87,8,7,-1,21,18395.38,191.68,-0.18,-62.73,NLOS
24,-13497003.71,13,7,6,23,18549.66,343.57,-1.79,1.87,NLOS
56,-16174615.58,19,7,1,35,18615.92,399.04,-78.14,59.01,NLOS
15,-22379989.72,19,7,-12,20,17659.66,22955.1,23496.78,17830565.43,NLOS
26,-13497627.91,20,7,6,4,18534.71,329.21,158.23,-10.78,NLOS
48,-16935673.56,20,7,-13,22,17984.46,5347.61,-5108.73,15479760.27,NLOS
28,-1777990.11,21,7,-14,22,18201.3,7.79,-52.35,2406.32,NLOS
32,-2080467.24,22,7,15,28,17638.44,553.56,9.15,17.29,LOS
27,-4361084.75,22,7,-6,23,18279.02,82.82,-23.77,-30.7,NLOS
24,-13478810.64,22,7,-15,23,18551.45,345.35,-20.54,14.89,NLOS
47,-17536737.46,23,7,-16,25,17900.02,58340.66,-58029.42,15142572.71,NLOS
48,-5294438.52,23,7,-11,27,18467.11,271.51,0.23,155.23,NLOS
26,-5706800.28,23,7,-8,33,18542.22,346.62,-11.95,-55.93,NLOS
26,-10675802.33,23,7,-13,20,18334.06,127.96,-75.23,57.5,NLOS
26,-12532717.27,24,7,-8,24,18355.89,149.8,-21.64,-16.64,NLOS
40,-3188558.1,25,7,-6,26,18320.02,134.04,-6.86,-2.24,NLOS
40,-11741936.37,25,7,-10,26,18391.39,186.36,-3.79,58.65,NLOS
50,-28912390.88,25,7,-18,32,17927.46,58328.68,-58037.12,14961520.97,LOS
22,-2603794.87,25,7,-9,26,18570.32,370.22,-1.15,66.45,NLOS
46,-15038494.26,26,7,-12,26,17951.9,238.75,8.36,545.69,NLOS
15,-4482095.01,26,7,-10,26,17660.86,553.39,-34.95,149.11,NLOS
22,-3859348.11,27,7,-7,28,18559.98,364.38,0.86,7.67,NLOS
46,-1972278.48,28,7,-3,29,17899.91,308.01,-15.35,39.13,NLOS
48,-5720490.63,28,7,-10,28,17905.75,199.81,85.67,147.79,NLOS
47,-2372594.62,8,8,0,23,17900.6,57758.67,58038.26,80.01,NLOS
26,-10275422.27,9,8,-1,20,18537.37,329.77,149.99,229.53,NLOS
35,-12107628.11,9,8,-1,21,17611.12,594.98,-102.49,68.53,NLOS
35,-12125833.94,9,8,-1,20,17704.38,501.42,93.56,68.56,NLOS
35,-12162245.91,9,8,-1,9,17705.5,500.29,1.91,68.64,NLOS
26,-15263384.85,9,8,-1,8,18396.78,192.78,2.4,-63.44,NLOS
36,-12180451.92,9,9,0,9,17704.9,500.9,-0.61,68.85,NLOS
26,-5342901.84,10,9,-1,26,18549.23,353.32,8.41,-34.82,NLOS
26,-15354401.28,10,9,-1,12,18396.06,192.66,0.52,-65.5,NLOS
26,-15372604.33,10,9,-1,11,18396,192.6,-0.06,-65.85,NLOS
46,-13308977.54,26,9,-8,26,17944.66,283.48,2.92,452.99,NLOS
26,-10038729.2,11,10,-1,0,0,22025993.81,22025993.81,230.99,NLOS
34,-10232226.57,11,10,-1,12,17651.21,556.09,18.38,-114.67,NLOS
34,-10250560.16,11,10,-1,12,17820.73,386.57,169.52,11.62,NLOS
34,-10268704.12,11,10,-1,11,17631.21,575.79,-189.22,-51.42,NLOS
26,-10694024.81,11,10,-1,23,18375.4,169.9,41.94,74.49,NLOS
36,-12198694.73,11,10,-1,9,17741.8,464.29,36.61,105.56,NLOS
36,-12417106.07,11,10,-1,12,17563.5,642,-158.9,40.15,NLOS
36,-12435282.79,11,10,-1,12,17677.19,528.31,113.69,11.38,NLOS
26,-15336198.01,11,10,-1,13,18395.84,192.14,1.4,-65.37,NLOS
26,-15390807.74,11,10,-1,10,18396.51,193.11,0.52,-65.83,NLOS
26,-15409011.05,11,10,-1,11,18396.56,193.17,0.05,-65.93,NLOS
28,-657424.05,24,10,-13,25,18288.77,106.36,73.11,2472.56,NLOS
26,-5324706.92,25,10,-15,34,18540.51,344.91,-10.48,-33.84,NLOS
48,-2001095.15,33,10,-2,34,18442.22,249.62,-2.83,16.62,LOS
28,-675568.6,12,11,-1,24,18210.73,26.22,-80.14,2432.6,NLOS
34,-10214062.39,12,11,-1,4,17632.83,574.47,-60.23,-71.56,NLOS
34,-10286908.33,12,11,-1,11,17691.57,515.43,60.36,-54.2,NLOS
34,-10305201.3,12,11,-1,12,17780.44,426.86,88.57,31.47,NLOS
36,-12216930.54,12,11,-1,11,17734.92,470.87,-6.58,135.58,NLOS
36,-12344294.54,12,11,-1,13,17629.91,573.79,-143.35,50.01,NLOS
36,-12362571.52,12,11,-1,13,17776.99,427.91,145.88,122.09,NLOS
36,-12380820.76,12,11,-1,12,17749.36,456.14,-28.23,165.83,NLOS
36,-12399042.92,12,11,-1,12,17722.39,483.1,-26.97,182.49,NLOS
24,-15117202.9,12,11,-1,19,18566.48,363.08,-15.05,26.13,NLOS
24,-15135430.62,12,11,-1,19,18584.83,381.13,18.05,50.16,NLOS
26,-15317994.81,12,11,-1,13,18394.44,190.74,5.62,-64.88,NLOS
24,-15098993.51,19,11,-8,20,18581.53,378.14,9.08,20.14,NLOS
46,-14838232.46,21,11,-4,22,17950.73,265.91,-2.12,518.86,NLOS
47,-2390814.46,13,12,-1,8,17901.61,267.4,-58026.07,105.16,NLOS
48,-5312628.66,13,12,-1,25,18465.09,269.79,-1.72,150.06,NLOS
34,-10323414.24,13,12,-1,12,17700.52,506.78,-79.92,37.12,NLOS
34,-10341664.09,13,12,-1,13,17737.53,469.76,37.02,79.67,NLOS
36,-12307894.35,13,12,-1,16,17641.39,566.2,-135.42,53.91,NLOS
36,-12326164.53,13,12,-1,14,17769.96,430.44,135.76,123.69,NLOS
26,-15299792.85,13,12,-1,13,18389.12,185.12,-14.56,-63.14,NLOS
46,-10742192.27,25,12,-5,26,17930.11,297.27,-30.74,682.11,NLOS
26,-15427265.87,13,13,0,11,18448.24,244.84,51.67,-14.5,NLOS
26,-3432410.46,14,13,-1,25,18519.14,323.24,-22.45,-75.74,NLOS
26,-3486997.09,14,13,-1,16,18549.57,353.66,-0.03,-76.21,NLOS
27,-4379276.32,14,13,-1,23,18290.05,94.15,11.33,-35.03,NLOS
27,-4397484.16,14,13,-1,22,18306.48,111.18,17.03,-22.5,NLOS
34,-10359944.76,14,13,-1,13,17768.47,438.83,30.93,153.05,NLOS
24,-10565833.11,14,13,-1,25,18635.86,429.76,133.14,-39.03,NLOS
36,-12289752.78,14,13,-1,0,0,21256223.45,21256223.45,119.94,NLOS
6,-35035559.47,14,13,-1,23,18828.82,653.5,-149714.21,19082298.68,NLOS
47,-2409004.12,21,13,8,13,17902.27,297.26,-29.86,100.42,NLOS
22,-1657442.97,22,13,-6,24,18575.57,374.57,6.02,51.38,NLOS
55,-1670547.41,26,13,-13,27,18380.7,171.03,-1.02,-18.36,NLOS
50,-12090508.8,27,13,-13,30,17926.87,301.43,-21.9,52.2,LOS
26,-10712314.54,14,14,0,23,18442.81,237.01,67.11,158.42,NLOS
26,-14080275.94,14,14,0,23,18387.86,183.26,-10.63,59.88,NLOS
47,-2681943.32,15,14,-1,27,17901,306.47,-22.94,132.65,NLOS
26,-3305073.28,15,14,-1,27,18548.32,353.02,7.82,-44.29,NLOS
26,-3505214.26,15,14,-1,16,18570.99,375.39,21.73,-54.65,NLOS
27,-4415693.2,15,14,-1,14,18307.84,112.24,1.06,-9.06,NLOS
26,-4524171.82,15,14,-1,24,18579.42,385.01,37.82,-39.45,NLOS
34,-9740766.66,15,14,-1,16,17697.49,511.9,13.77,40.68,NLOS
34,-9758966.54,15,14,-1,16,17684.09,524.71,-12.81,31.78,NLOS
34,-10378152.37,15,14,-1,14,17695.51,511.79,-72.96,153.36,NLOS
26,-10293575.84,15,14,-1,20,18303.05,95.76,-234.02,175.81,NLOS
26,-10875996.16,15,14,-1,16,18334.87,129.67,-46.75,-7.92,NLOS
26,-10894219.8,15,14,-1,16,18378.28,173.08,43.41,10.52,NLOS
26,-10912383.44,15,14,-1,15,18318.44,112.94,-60.14,-31.34,NLOS
24,-11439717.18,15,14,-1,25,18522.23,316.73,-15.94,-24.77,NLOS
40,-27374856.24,15,14,-1,26,18394.9,96911.19,-97097.55,15517665.2,NLOS
50,-12108751.75,15,14,-1,28,17927.94,245.77,55.65,87.57,LOS
24,-15153644.5,15,14,-1,12,18570.98,367.28,-13.85,60.34,NLOS
22,-4769081.9,15,14,-1,24,18572.85,375.74,5.45,38.66,NLOS
26,-2104255.27,22,14,-4,34,18543.76,349.96,8.02,-47.25,NLOS
24,-10547552.98,24,14,-9,25,18502.72,296.63,-25.31,-113.07,NLOS
26,-3286878.74,26,14,-12,27,18540.5,345.2,-2.74,-43.54,NLOS
40,-12178750.35,26,14,-5,27,18393.22,176.31,-0.11,-74.59,NLOS
28,-693782.95,15,15,0,24,18281.35,88.75,62.53,2454.34,NLOS
26,-3450605.87,15,15,0,25,18549.22,353.62,30.38,-75.93,NLOS
34,-10396390.22,15,15,0,15,17725.86,481.44,30.35,183.91,NLOS
26,-10730336.16,15,15,0,14,18174.85,30.64,-267.66,-25.46,NLOS
22,-2767587.35,15,15,0,16,18528.28,328.48,-4.01,58.33,NLOS
28,-711982.15,16,15,-1,15,18265.74,72.83,-15.92,2460.65,NLOS
47,-2663764.41,16,15,-1,28,17901.68,283.53,-7.16,146.94,NLOS
26,-4505946.49,16,15,-1,30,18541.9,347.19,10.48,-70.38,NLOS
26,-4542392.61,16,15,-1,16,18574.88,380.78,-4.24,-12.77,NLOS
27,-5143432.4,16,15,-1,4,18302.54,108.43,1.44,-16.92,NLOS
48,-5330817.84,16,15,-1,23,18464.3,268.69,-1.1,143.64,NLOS
26,-5361087.71,16,15,-1,25,18540.17,344.57,-8.76,-44.55,NLOS
34,-9613294.98,16,15,-1,17,17690.4,518.39,3.14,38.06,NLOS
34,-9631496.93,16,15,-1,17,17685.39,524,-5.61,30.62,NLOS
34,-9649715.01,16,15,-1,16,17701.63,508.36,15.64,38.7,NLOS
34,-9667936.84,16,15,-1,16,17705.49,504.8,3.56,50.24,NLOS
34,-9686150.37,16,15,-1,16,17697.31,512.99,-8.19,53.48,NLOS
34,-9704353.21,16,15,-1,16,17686.71,523.28,-10.29,46.33,NLOS
34,-9722553.26,16,15,-1,16,17684.03,525.67,-2.39,36.68,NLOS
34,-10414586.65,16,15,-1,15,17684.55,523.04,-41.61,172.75,NLOS
26,-10748587.01,16,15,-1,15,18404.24,198.75,229.39,19.9,NLOS
26,-10821345.6,16,15,-1,17,18340.07,134.87,-30.81,-42.9,NLOS
26,-10839588.79,16,15,-1,17,18397.36,191.87,56.99,-5.21,NLOS
26,-10857815.78,16,15,-1,16,18381.32,176.43,-15.44,16.89,NLOS
26,-13006079.2,16,15,-1,17,18373.4,168.21,-18.72,-7.19,NLOS
26,-13024269.49,16,15,-1,16,18363.19,157.69,-10.51,-22.4,NLOS
26,-13042478,16,15,-1,16,18381.56,176.06,18.37,-19.4,NLOS
26,-13060678.64,16,15,-1,16,18373.86,168.36,-7.7,-24.24,NLOS
24,-13515218.75,16,15,-1,22,18571.64,365.84,22.27,11.11,NLOS
26,-14098480.78,16,15,-1,23,18386.92,182.33,-0.93,60.12,NLOS
26,-14517178.73,16,15,-1,17,18391.39,188.29,-7.48,69.44,NLOS
26,-14535394.75,16,15,-1,16,18401.83,198.43,10.14,82.06,NLOS
26,-14553594.61,16,15,-1,16,18385.83,182.73,-15.7,78.82,NLOS
26,-14571776.68,16,15,-1,16,18368.19,164.79,-17.94,57.49,NLOS
26,-14589955.16,16,15,-1,16,18364.76,161.36,-3.43,32.57,NLOS
26,-14917582.63,16,15,-1,17,18380.66,177.56,-12.1,-0.51,NLOS
26,-14935780.48,16,15,-1,16,18387.07,183.98,6.41,-5.75,NLOS
26,-14953979.79,16,15,-1,16,18388.68,185.58,1.61,-9.55,NLOS
26,-14972185.23,16,15,-1,16,18394.97,191.57,5.99,-7.51,NLOS
26,-14990373.1,16,15,-1,16,18377.56,174.17,-17.41,-23.03,NLOS
24,-15171862.25,16,15,-1,15,18574.86,371.16,3.88,74.39,NLOS
26,2704578.29,16,15,-1,17,18436.98,236.28,11.22,-2995691.16,NLOS
26,2686408.54,16,15,-1,17,18407.22,206.52,-29.75,-2995722.1,NLOS
26,2668232.79,16,15,-1,16,18412.88,212.18,5.65,-2995747.05,NLOS
26,2650042.89,16,15,-1,16,18426.24,226.14,13.97,-2995757.26,NLOS
26,2631854.11,16,15,-1,16,18427.29,226.59,0.45,-2995769.18,NLOS
26,2613664.46,16,15,-1,16,18426.3,226.5,-0.1,-2995779.33,NLOS
26,2595458.32,16,15,-1,16,18443.29,242.89,16.4,-2995773.59,NLOS
22,-1675668.36,16,15,-1,23,18583.72,383.02,8.46,76.08,NLOS
22,-2694842.89,16,15,-1,17,18570.51,367.71,10.23,112.78,NLOS
22,-2713029.83,16,15,-1,17,18546.58,346.78,-20.94,99.91,NLOS
22,-2731246.86,16,15,-1,16,18576.86,377.36,30.59,117.44,NLOS
22,-2749418.91,16,15,-1,16,18532.29,332.49,-44.87,89.7,NLOS
22,-2785772.4,22,15,7,16,18544.33,344.53,16.05,43.59,NLOS
26,-14062070.01,23,15,-2,18,18398.18,193.89,-1.16,58.54,NLOS
27,-4433885.51,24,15,8,15,18291.27,95.96,-16.28,-12.05,NLOS
24,-11421550.93,24,15,-8,25,18537.86,332.67,-24.55,14.47,NLOS
26,-12915054.36,24,15,-5,25,18378.23,172.44,3.56,-4.86,NLOS
54,-4290987.8,24,15,-3,26,18378.48,186.48,12.12,-33.11,NLOS
47,-2700112.49,26,15,11,16,17900.22,315.9,-9.42,108.92,NLOS
26,-3523398.3,26,15,11,15,18537.87,342.57,-32.83,-65.91,NLOS
47,-3810013.38,32,15,-16,33,17905.19,217.06,72.1,145.56,NLOS
26,-191379.51,16,16,0,0,0,22014461.24,22014461.24,-45136.65,NLOS
28,856006.22,16,16,0,24,18262.4,68.6,-6.6,-2995445.12,NLOS
34,-10432774.87,16,16,0,16,17676.45,530.84,-7.8,153.67,NLOS
26,-12641938.68,16,16,0,17,18367.98,161.58,25.25,-31.8,NLOS
26,-12987878.55,16,16,0,18,18392.43,186.93,21.78,-2.66,NLOS
26,-14498973,16,16,0,17,18399.17,195.77,-5.31,66.8,NLOS
26,-14899391.04,16,16,0,18,18393.06,189.66,-0.4,11,NLOS
26,-15008587.15,16,16,0,16,18403.9,200.8,26.63,-12.08,NLOS
24,-15190083.53,16,16,0,16,18578.4,374.71,3.54,91.97,NLOS
28,-730183.26,17,16,-1,16,18268.42,75.22,2.39,2468.55,NLOS
28,-1075839.4,17,16,-1,23,18309.69,117.69,79.18,2531.74,NLOS
40,-3243131.67,17,16,-1,19,18321.59,118.86,-1.75,-14.59,NLOS
27,-5161625.71,17,16,-1,16,18298.55,104.75,-3.69,-17.42,NLOS
34,-9576884.48,17,16,-1,17,17675.86,532.63,-15.76,44.56,NLOS
34,-9595087.91,17,16,-1,17,17686.66,521.54,11.09,39.79,NLOS
34,-10450999,17,16,-1,16,17712.48,495.12,35.73,170.21,NLOS
26,-10311732.3,17,16,-1,15,18306.09,98.5,2.74,124.67,NLOS
34,-10469197.83,17,16,-1,17,17687.28,520.01,-24.89,161.75,NLOS
26,-10329804.54,17,16,-1,17,18222.03,14.74,-83.76,-10.38,NLOS
34,-10487384.39,17,16,-1,17,17675.11,532.18,-12.17,141.01,NLOS
26,-10348054.38,17,16,-1,17,18399.79,192.49,177.76,32.16,NLOS
34,-10505595.11,17,16,-1,17,17699.39,507.9,24.28,144.43,NLOS
24,-10584176.08,17,16,-1,24,18698.7,492.61,62.84,97.85,NLOS
26,-10766784.99,17,16,-1,16,18351.52,146.03,-52.72,12.38,NLOS
26,-10784942.22,17,16,-1,17,18310.93,105.74,-40.29,-35.59,NLOS
26,-10803159.54,17,16,-1,17,18371.18,165.68,59.95,-23.76,NLOS
46,-11324775.19,17,16,-1,18,17936.87,282.44,-5.06,683.79,NLOS
46,-11342953.24,17,16,-1,18,17935.78,297.96,-15.52,656.64,NLOS
26,-12550895.6,17,16,-1,24,18347.17,141.08,-8.72,-44.41,NLOS
26,-12569131.7,17,16,-1,24,18405.11,199.01,57.94,-14.4,NLOS
26,-12587342.51,17,16,-1,17,18379.96,173.87,-25.15,-9.69,NLOS
26,-12605569.01,17,16,-1,17,18395.81,190.01,16.15,11.01,NLOS
26,-12623741.96,17,16,-1,17,18342.43,136.33,-53.68,-22.12,NLOS
26,-12660163.88,17,16,-1,17,18394.98,188.88,27.3,-12.7,NLOS
26,-12678392.42,17,16,-1,17,18398.49,192.39,3.51,9.75,NLOS
26,-12969658.71,17,16,-1,19,18370.35,165.15,0.53,-17,NLOS
26,-13078893.33,17,16,-1,16,18388.05,181.95,13.59,-15.66,NLOS
26,-13097093.75,17,16,-1,17,18373.94,168.15,-13.81,-21.03,NLOS
26,-14444333.15,17,16,-1,18,18391.4,188,-12.05,37.15,NLOS
26,-14462540.19,17,16,-1,18,18392.23,188.83,0.83,40.79,NLOS
26,-14480759.32,17,16,-1,17,18404.48,201.08,12.25,56.52,NLOS
26,-14608140.06,17,16,-1,16,18371.33,168.23,6.87,14.37,NLOS
26,-14881186.9,17,16,-1,19,18393.16,190.06,9.91,10.26,NLOS
24,-15208300.38,17,16,-1,16,18573.98,370.28,-4.42,105.13,NLOS
26,-15445481.13,17,16,-1,13,18408.83,205.43,-39.4,-2.63,NLOS
26,-15791346.51,17,16,-1,18,18403.5,200.11,8.65,1.19,NLOS
26,-15809548.88,17,16,-1,17,18399.03,195.93,-4.18,0.46,NLOS
26,-15827741.5,17,16,-1,17,18389.44,186.04,-9.88,-10.32,NLOS
26,-15845942.26,17,16,-1,17,18397.74,194.64,8.6,-12.65,NLOS
26,-15864141.27,17,16,-1,17,18396.14,193.34,-1.3,-16.44,NLOS
26,-15882339.88,17,16,-1,17,18395.9,192.8,-0.54,-20.93,NLOS
6,-35054466.62,17,16,-1,16,18878.6,704.35,50.84,19083003.03,NLOS
46,-16112494.14,17,16,-1,21,17960.49,253.8,-1.03,554.76,NLOS
46,-16130694.31,17,16,-1,19,17959.82,247.25,6.56,552.44,NLOS
46,-16148879.42,17,16,-1,17,17958.18,262.51,-15.26,534.75,NLOS
26,-16319219.81,17,16,-1,19,18431.97,229.47,26.89,-4.85,NLOS
26,2795514.95,17,16,-1,18,18434.88,235.08,14.95,-2995626.12,NLOS
26,2777330.73,17,16,-1,17,18420.43,220.33,-14.75,-2995642,NLOS
26,2759151.22,17,16,-1,17,18416.61,216.51,-3.82,-2995662.58,NLOS
26,2740966.5,17,16,-1,17,18420.89,220.49,3.98,-2995678.27,NLOS
26,2722778.44,17,16,-1,17,18425.46,225.06,4.57,-2995690.61,NLOS
26,2577245.13,17,16,-1,16,18452.47,251.47,8.58,-2995761.39,NLOS
22,-2257969.46,17,16,-1,19,18577.24,377.14,18.52,53.73,NLOS
22,-2276155.9,17,16,-1,18,18546.8,346.4,-30.74,39.77,NLOS
22,-2294337.11,17,16,-1,17,18541.85,341.45,-4.95,20.58,NLOS
22,-2312522.81,17,16,-1,17,18546.08,345.38,3.93,5.58,NLOS
22,-2622005.69,17,16,-1,26,18571.01,371.21,0.99,77.47,NLOS
22,-2658435.87,17,16,-1,17,18573.8,374,-2.57,108.06,NLOS
22,-2676632.65,17,16,-1,17,18556.98,357.48,-16.52,105.33,NLOS
22,-3713750.07,17,16,-1,26,18553.32,359.22,10.57,-23.45,NLOS
15,-4500268.76,17,16,-1,26,17661.58,556.13,-2.74,126.66,NLOS
22,-4787330.1,17,16,-1,23,18609.97,412.87,37.12,89.76,NLOS
28,-1057599.7,22,16,-6,23,18231.41,38.51,-86.1,2484.04,NLOS
26,-3323273.14,23,16,7,26,18553.63,358.33,5.31,-39.74,NLOS
24,-15608755.01,25,16,-6,26,18564.08,360.98,-1.81,83.21,NLOS
26,-10366256.52,17,17,0,17,18352.25,144.95,-47.54,27.01,NLOS
26,-10384477,17,17,0,17,18370.75,163.75,18.8,40.49,NLOS
46,-15056719.49,17,17,0,26,17952.55,228.96,9.78,567.53,NLOS
46,-15074923.57,17,17,0,26,17952.23,250.02,-21.06,568.21,NLOS
26,-15773139.52,17,17,0,19,18394.56,191.46,-10.41,-2.4,NLOS
26,2813713.38,17,17,0,18,18419.93,220.13,-7.5,-2995624.75,NLOS
26,2559037.56,17,17,0,17,18447.27,246.87,-4.6,-2995754.23,NLOS
22,-2640221.88,17,17,0,25,18576.38,376.58,5.37,93.86,NLOS
28,-748337.08,18,17,-1,17,18221.12,28.21,-47.01,2429.46,NLOS
25,-864436.39,18,17,-1,19,18898.39,761.25,-4.04,-45134.52,NLOS
25,-882626.14,18,17,-1,19,18961.48,768.57,7.32,-45137.68,NLOS
25,-900872.66,18,17,-1,18,19019.39,770.43,1.86,-45140.13,NLOS
28,-1093968.89,18,17,-1,22,18200.02,8.61,-109.08,2469.82,NLOS
28,874189.12,18,17,-1,25,18269,75.19,-17.1,-2995434.21,NLOS
28,837823.99,18,17,-1,18,18261.9,67.79,-0.81,-2995456.99,NLOS
40,-3224942.86,18,17,-1,25,18321.44,120.62,-3.25,-8.09,NLOS
26,-10056698.71,18,17,-1,11,18116.96,90.33,-237.89,-6.79,NLOS
34,-10523811.98,18,17,-1,17,17705.65,501.35,6.56,154.31,NLOS
35,-11197353.14,18,17,-1,14,17732.95,472.25,34.91,66,NLOS
46,-11270164.5,18,17,-1,25,17934.04,273.44,0.05,689.89,NLOS
46,-11288381.81,18,17,-1,25,17934.79,259.29,14.16,701.69,NLOS
46,-11306580.93,18,17,-1,18,17935.16,277.37,-18.09,695.32,NLOS
24,-11731302.76,18,17,-1,19,18706.47,501.28,195.85,274.37,NLOS
26,-12696595.01,18,17,-1,17,18372.68,166.59,-25.8,6.24,NLOS
26,-12951460.79,18,17,-1,24,18370.41,164.62,-10.3,-9.72,NLOS
26,-13115303.54,18,17,-1,17,18383.47,177.68,9.53,-17.03,NLOS
26,-13133506.21,18,17,-1,18,18376.51,170.71,-6.97,-20.16,NLOS
26,-13151708.13,18,17,-1,18,18375.9,170.11,-0.6,-24.04,NLOS
50,-13911179.01,18,17,-1,26,17927.48,57793.87,116122.55,147.33,LOS
26,-14025637.42,18,17,-1,19,18402.43,196.33,14.37,33.95,NLOS
26,-14043853.6,18,17,-1,18,18398.75,195.05,-1.28,46.43,NLOS
26,-14116674.91,18,17,-1,16,18376.37,172.07,-10.26,49.96,NLOS
26,-14298657.89,18,17,-1,19,18384.32,180.32,-2.95,-9.14,NLOS
26,-14316855.86,18,17,-1,18,18381.92,177.92,-2.4,-15.16,NLOS
26,-14389688.88,18,17,-1,19,18389.87,186.47,-4.39,3.67,NLOS
26,-14407907.92,18,17,-1,18,18403.76,200.06,13.59,19.01,NLOS
26,-14426126.79,18,17,-1,18,18403.75,200.05,-0.01,34.18,NLOS
46,-14856427.58,18,17,-1,21,17951.59,259.58,6.32,511.19,NLOS
26,-14862982.5,18,17,-1,22,18382.95,180.16,-16.22,8.95,NLOS
46,-15093108.37,18,17,-1,17,17952.46,269.2,-19.18,549.61,NLOS
24,-15226504.38,18,17,-1,17,18561.12,357.13,-13.15,105.13,NLOS
24,-15244707.41,18,17,-1,18,18560.17,356.47,-0.65,104.46,NLOS
24,-15262897.43,18,17,-1,18,18547.15,343.16,-13.32,90.48,NLOS
26,-15754941.32,18,17,-1,24,18404.97,201.87,15.95,2.49,NLOS
26,-15900545.46,18,17,-1,17,18403.02,199.92,7.12,-18.45,NLOS
26,-15918749.71,18,17,-1,18,18401.84,198.74,-1.18,-17.3,NLOS
