Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
46.0000000000,0.0000000000,39714.7663132250,31.0000000000,24.0000000000,32.0000000000,32.0000000000,24.0000000000,-0.5410000000,3523356.2238813700,0.0001937000,0.0000000000,0.0000000000,1287598500.3600900000,1287598796.3273900000,165.7222683243,NLOS
66.0000000000,0.0000000000,-20195.6271355897,48.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,0.0160000000,3523985.6027565600,-0.0000067731,0.0000000000,0.0000000000,1287599136.9157300000,1287598803.3814000000,-24.2056585588,LOS
38.0000000000,0.0000000000,-44280.5728102438,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,-0.0130000000,3523236.1580840500,-0.0000868466,0.0000000000,0.0000000000,1287598387.3951800000,1287598803.4597200000,55.3196519651,LOS
8.0000000000,0.0000000000,-41784.8753489553,45.0000000000,44.0000000000,45.0000000000,45.0000000000,44.0000000000,-0.1600000000,3523066.6147337800,-0.0000783984,0.0000000000,0.0000000000,1287598217.9037200000,1287598803.3322200000,92.3168543540,LOS
32.0000000000,0.0000000000,-380146.6053687850,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,-0.6350000000,3524004.2891898400,0.0000000000,0.0000000000,0.0000000000,1287599155.5597600000,1287598803.4032200000,361957.2975645510,NLOS
49.0000000000,0.0000000000,-7312.5406237654,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.2540000000,3523879.2869623900,0.0000367163,0.0000000000,0.0000000000,1287599030.5580800000,1287587796.2510200000,130.5037431456,LOS
31.0000000000,0.0000000000,-161150.6273867970,23.0000000000,22.0000000000,24.0000000000,24.0000000000,22.0000000000,1.0470000000,3523081.7659788200,0.0000000000,0.0000000000,0.0000000000,1287598233.0365500000,1287598809.4933500000,142961.3195825620,LOS
28.0000000000,0.0000000000,-20711.4869164265,21.0000000000,20.0000000000,21.0000000000,21.0000000000,20.0000000000,-0.8400000000,3523722.4856235700,0.0000000000,0.0000000000,0.0000000000,1287598873.7561900000,1287598805.1308000000,2522.1791121922,NLOS
76.0000000000,0.0000000000,-39195.6742209233,36.0000000000,36.0000000000,37.0000000000,37.0000000000,36.0000000000,-3.5060000000,18094.5936685614,-0.0000093456,0.0000000000,0.0000000000,96.9107098617,-1287598803.9301800000,13.2316515446,NLOS
46.0000000000,0.0000000000,21537.4197454452,24.0000000000,23.0000000000,32.0000000000,32.0000000000,23.0000000000,-2.3490000000,17895.2417785190,0.0001937000,0.0000000000,0.0000000000,309.4788417146,-1287598809.8389300000,151.6679782234,NLOS
66.0000000000,0.0000000000,-38385.9663223698,48.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,-3.5180000000,18524.3237364739,-0.0000067731,0.0000000000,0.0000000000,332.8648305051,-1287598804.0509000000,-25.2727899030,LOS
38.0000000000,0.0000000000,-62470.9028801582,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,-3.5770000000,17774.8315766714,-0.0000868466,0.0000000000,0.0000000000,416.6361242011,-1287598804.0313000000,54.2435284406,LOS
8.0000000000,0.0000000000,-59975.2534093484,45.0000000000,44.0000000000,45.0000000000,45.0000000000,44.0000000000,-3.5060000000,17605.2765776738,-0.0000783984,0.0000000000,0.0000000000,586.1502006501,-1287598804.0539200000,91.2850463651,LOS
32.0000000000,0.0000000000,-398362.6169634420,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,-2.9780000000,18545.7947600260,0.0000000000,0.0000000000,0.0000000000,354.3884085864,-1287598801.1713500000,361981.9028077680,NLOS
49.0000000000,0.0000000000,-25500.7651791051,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,-3.6720000000,18418.0977531597,0.0000367163,0.0000000000,0.0000000000,226.6919470429,-1287598803.8661300000,127.3224923685,LOS
31.0000000000,0.0000000000,-179343.9008351220,23.0000000000,22.0000000000,23.0000000000,24.0000000000,22.0000000000,1.2540000000,17624.7024668529,0.0000000000,0.0000000000,0.0000000000,566.7038845867,-1287598799.7404300000,142963.1866794480,LOS
28.0000000000,0.0000000000,-38901.2921727709,21.0000000000,20.0000000000,21.0000000000,21.0000000000,20.0000000000,-2.3530000000,18251.1478334926,0.0000000000,0.0000000000,0.0000000000,59.7414820530,-1287598814.0147100000,2520.5780170970,NLOS
76.0000000000,0.0000000000,-57385.1520414091,36.0000000000,30.0000000000,37.0000000000,37.0000000000,30.0000000000,0.7850000000,18093.7500638738,-0.0000093456,0.0000000000,0.0000000000,97.4658570364,-0.5551471747,11.6031863242,NLOS
46.0000000000,0.0000000000,3367.4498333484,22.0000000000,21.0000000000,31.0000000000,32.0000000000,21.0000000000,-2.3930000000,17892.5218844078,0.0001937000,0.0000000000,0.0000000000,316.2754368745,-6.7965951599,130.5368248932,NLOS
66.0000000000,0.0000000000,-56575.8879883438,48.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,0.7380000000,18523.4467245154,-0.0000067731,0.0000000000,0.0000000000,332.2928142324,-0.5720162727,-26.4576495923,LOS
38.0000000000,0.0000000000,-80661.2661094702,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,0.6350000000,17773.9113418534,-0.0000868466,0.0000000000,0.0000000000,417.2190302312,-0.5829060301,53.5003567673,LOS
8.0000000000,0.0000000000,-78165.7728225924,45.0000000000,44.0000000000,45.0000000000,45.0000000000,44.0000000000,0.7350000000,17604.3272452391,-0.0000783984,0.0000000000,0.0000000000,586.8846615367,-0.7344608866,90.6943836883,LOS
32.0000000000,0.0000000000,-416571.1256916820,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,0.2010000000,18539.3207292407,0.0000000000,0.0000000000,0.0000000000,348.2141702585,-6.1742383279,361999.3049770250,NLOS
49.0000000000,0.0000000000,-43688.0678194798,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.6330000000,18416.7016344070,0.0000367163,0.0000000000,0.0000000000,225.5956207439,-1.0963262990,123.5191190802,LOS
31.0000000000,0.0000000000,-197542.1555772530,22.0000000000,22.0000000000,23.0000000000,24.0000000000,22.0000000000,-3.9140000000,17629.5187269449,0.0000000000,0.0000000000,0.0000000000,561.5878320374,5.1160525493,142970.3348625970,LOS
28.0000000000,0.0000000000,-57087.8192000314,21.0000000000,20.0000000000,21.0000000000,21.0000000000,20.0000000000,0.0880000000,18248.9665562696,0.0000000000,0.0000000000,0.0000000000,57.8599972874,-1.8814847656,2515.9984853752,NLOS
76.0000000000,0.0000000000,-75575.2268683351,30.0000000000,30.0000000000,36.0000000000,37.0000000000,30.0000000000,1.8810000000,18095.3186798766,-0.0000093456,0.0000000000,0.0000000000,95.4035748541,2.0622821823,11.1713124588,NLOS
46.0000000000,0.0000000000,-14822.7329814285,20.0000000000,20.0000000000,24.0000000000,32.0000000000,20.0000000000,2.3710000000,17892.3782300911,0.0001937000,0.0000000000,0.0000000000,294.8884505145,21.3869863600,130.2181591615,NLOS
66.0000000000,0.0000000000,-74766.5933393277,48.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,1.9280000000,18525.0464086830,-0.0000067731,0.0000000000,0.0000000000,334.4991446137,2.2063303813,-26.2592393570,LOS
38.0000000000,0.0000000000,-98852.1837071664,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,1.9300000000,17775.4721931144,-0.0000868466,0.0000000000,0.0000000000,415.0173413716,2.2016888596,53.9111383967,LOS
8.0000000000,0.0000000000,-96356.9974130801,45.0000000000,44.0000000000,45.0000000000,45.0000000000,44.0000000000,1.7980000000,17605.8516927361,-0.0000783984,0.0000000000,0.0000000000,584.7429759391,2.1416855976,91.4084831700,LOS
32.0000000000,0.0000000000,-434784.8557033530,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,2.4720000000,18544.3114915154,0.0000000000,0.0000000000,0.0000000000,353.8045174479,5.5903471895,362022.5280146300,NLOS
49.0000000000,0.0000000000,-61876.8874522037,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,2.2990000000,18419.3178329281,0.0000367163,0.0000000000,0.0000000000,228.8114041835,3.2157834396,121.8323230594,LOS
31.0000000000,0.0000000000,-215736.6124431780,22.0000000000,22.0000000000,23.0000000000,24.0000000000,22.0000000000,3.6540000000,17625.9588825330,0.0000000000,0.0000000000,0.0000000000,564.5480915345,-2.9602594972,142974.2847544550,LOS
28.0000000000,0.0000000000,-75275.8250450417,22.0000000000,21.0000000000,21.0000000000,22.0000000000,20.0000000000,2.1320000000,18250.2927728183,0.0000000000,0.0000000000,0.0000000000,59.7857987508,1.9258014634,2513.4973563179,NLOS
76.0000000000,0.0000000000,-93762.8428127989,29.0000000000,22.0000000000,36.0000000000,37.0000000000,22.0000000000,0.6800000000,18096.3149344548,-0.0000093456,0.0000000000,0.0000000000,98.9489426613,-3.5453678071,7.6809712201,NLOS
46.0000000000,0.0000000000,-33010.4363463930,21.0000000000,20.0000000000,22.0000000000,32.0000000000,20.0000000000,2.6250000000,17895.5793397873,0.0001937001,0.0000000000,0.0000000000,298.7565243877,-3.8680738732,126.8204586990,NLOS
66.0000000000,0.0000000000,-92958.2795849926,47.0000000000,47.0000000000,48.0000000000,48.0000000000,47.0000000000,0.6150000000,18526.0080928206,-0.0000067731,0.0000000000,0.0000000000,334.8136732876,0.3145286739,-25.6795193553,LOS
38.0000000000,0.0000000000,-117043.9739072240,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,0.5970000000,17776.4003065377,-0.0000868466,0.0000000000,0.0000000000,414.6964316368,0.3209097348,54.5949374735,LOS
8.0000000000,0.0000000000,-114548.6938168810,44.0000000000,43.0000000000,45.0000000000,45.0000000000,43.0000000000,0.6760000000,17606.7590390816,-0.0000783985,0.0000000000,0.0000000000,584.4344712421,0.3085046969,91.9948110506,LOS
32.0000000000,0.0000000000,-453004.3534949570,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,0.6980000000,18549.2150027006,0.0000000000,0.0000000000,0.0000000000,358.1084437221,4.3039262742,362050.9192472540,NLOS
49.0000000000,0.0000000000,-80067.6290132999,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.9410000000,18421.0868304707,0.0000367163,0.0000000000,0.0000000000,229.9808168113,1.1694126278,121.4678704962,LOS
31.0000000000,0.0000000000,-233938.0176475420,22.0000000000,21.0000000000,22.0000000000,24.0000000000,21.0000000000,0.6680000000,17633.0087704919,0.0000000000,0.0000000000,0.0000000000,558.0977884866,6.4503030479,142984.5833998390,LOS
28.0000000000,0.0000000000,-93463.5580409243,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,-0.7260000000,18249.4377121478,0.0000000000,0.0000000000,0.0000000000,58.3311531693,-1.4546455815,2510.1237932220,NLOS
76.0000000000,0.0000000000,-111982.5447018660,21.0000000000,20.0000000000,30.0000000000,37.0000000000,20.0000000000,2.1620000000,18097.9693581983,-0.0000093456,0.0000000000,0.0000000000,69.8471720181,29.1017706431,33.8782349154,NLOS
46.0000000000,0.0000000000,-51197.6090201847,27.0000000000,21.0000000000,21.0000000000,32.0000000000,20.0000000000,0.6130000000,17897.2361781261,0.0001937001,0.0000000000,0.0000000000,301.0202846490,-2.2637602612,120.4937274009,NLOS
66.0000000000,0.0000000000,-111152.3069216230,47.0000000000,46.0000000000,48.0000000000,48.0000000000,46.0000000000,0.2860000000,18526.5643545612,-0.0000067731,0.0000000000,0.0000000000,332.9600743838,-1.8535989039,-25.1570480540,LOS
38.0000000000,0.0000000000,-135236.8859833180,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,0.1530000000,17776.9116092659,-0.0000868466,0.0000000000,0.0000000000,416.5760356933,-1.8796040565,54.0022729188,LOS
8.0000000000,0.0000000000,-132741.1653760740,44.0000000000,43.0000000000,45.0000000000,45.0000000000,43.0000000000,-0.0370000000,17607.2386907078,-0.0000783985,0.0000000000,0.0000000000,586.3611496724,-1.9266784303,90.9579546563,LOS
32.0000000000,0.0000000000,-471223.4312551090,32.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,-0.3850000000,18548.7612970396,0.0000000000,0.0000000000,0.0000000000,355.2563983910,-2.8520453312,362076.4921087580,NLOS
49.0000000000,0.0000000000,-98260.2763089574,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.1740000000,18422.7716398164,0.0000367163,0.0000000000,0.0000000000,229.2672864906,-0.7135303207,120.6108128279,LOS
31.0000000000,0.0000000000,-252135.3958707410,22.0000000000,21.0000000000,22.0000000000,24.0000000000,21.0000000000,0.1540000000,17626.9535449407,0.0000000000,0.0000000000,0.0000000000,566.5513537079,-8.4535652213,142988.4567243900,LOS
28.0000000000,0.0000000000,-111657.9642661210,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,2.6190000000,18255.8942927159,0.0000000000,0.0000000000,0.0000000000,62.3893940672,4.0582408980,2511.0251197703,NLOS
76.0000000000,0.0000000000,-130204.0971050150,20.0000000000,19.0000000000,29.0000000000,37.0000000000,19.0000000000,-2.6910000000,18097.9428834877,-0.0000093456,0.0000000000,0.0000000000,66.4198288620,3.4273431562,62.5255976133,NLOS
46.0000000000,0.0000000000,-69413.2745556049,27.0000000000,27.0000000000,27.0000000000,32.0000000000,20.0000000000,-1.0740000000,17896.6854857169,0.0001937001,0.0000000000,0.0000000000,271.2873516269,29.7329330221,143.2594426461,NLOS
66.0000000000,0.0000000000,-129344.9485500340,47.0000000000,46.0000000000,47.0000000000,48.0000000000,46.0000000000,-0.5530000000,18526.1107558682,-0.0000067731,0.0000000000,0.0000000000,333.1120068692,0.1519324854,-25.4207000583,LOS
38.0000000000,0.0000000000,-153429.3092099050,47.0000000000,46.0000000000,47.0000000000,47.0000000000,46.0000000000,-0.4490000000,17776.4127946645,-0.0000868466,0.0000000000,0.0000000000,416.5488511734,0.0271845199,53.5203437731,LOS
8.0000000000,0.0000000000,-150933.8961663760,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,-0.5040000000,17606.7180322073,-0.0000783985,0.0000000000,0.0000000000,586.3089817427,0.0521679297,90.7799142897,LOS
32.0000000000,0.0000000000,-489442.3993526320,32.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,-0.7790000000,18550.0177127122,0.0000000000,0.0000000000,0.0000000000,357.1123989820,1.8560005911,362102.5548925510,NLOS
49.0000000000,0.0000000000,-116452.7362172860,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,-0.6330000000,18422.9239844568,0.0000367163,0.0000000000,0.0000000000,230.0192160457,0.7519295551,120.1659527458,LOS
31.0000000000,0.0000000000,-270329.5757836990,22.0000000000,22.0000000000,22.0000000000,24.0000000000,21.0000000000,-0.0970000000,17624.7199170701,0.0000000000,0.0000000000,0.0000000000,568.1853966601,-1.6340429522,142989.7313236180,LOS
28.0000000000,0.0000000000,-129855.3030364060,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,-1.7640000000,18260.3266480192,0.0000000000,0.0000000000,0.0000000000,67.4213342890,5.0319402218,2515.4585763253,NLOS
76.0000000000,0.0000000000,-148412.2486329480,29.0000000000,21.0000000000,21.0000000000,37.0000000000,19.0000000000,1.9270000000,18096.8418794274,-0.0000093456,0.0000000000,0.0000000000,82.7201130465,-16.3002841845,76.2731228024,NLOS
46.0000000000,0.0000000000,-87610.9194923155,28.0000000000,27.0000000000,27.0000000000,32.0000000000,20.0000000000,1.2680000000,17896.6813624054,0.0001937001,0.0000000000,0.0000000000,291.8896523751,-20.6023007482,146.5055968948,NLOS
66.0000000000,0.0000000000,-147539.4061478970,47.0000000000,46.0000000000,47.0000000000,48.0000000000,46.0000000000,1.5170000000,18526.5732789374,-0.0000067731,0.0000000000,0.0000000000,332.0839297511,-1.0280771181,-25.3673448972,LOS
38.0000000000,0.0000000000,-171624.0988066490,46.0000000000,45.0000000000,47.0000000000,47.0000000000,45.0000000000,1.3590000000,17776.8333470635,-0.0000868466,0.0000000000,0.0000000000,417.5964144319,-1.0475632586,53.9058224969,LOS
8.0000000000,0.0000000000,-169128.5978284960,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,1.4120000000,17607.1086370237,-0.0000783985,0.0000000000,0.0000000000,587.4134368896,-1.1044551469,91.0737834498,LOS
32.0000000000,0.0000000000,-507659.5890827550,33.0000000000,32.0000000000,32.0000000000,33.0000000000,24.0000000000,1.4570000000,18548.7263966053,0.0000000000,0.0000000000,0.0000000000,354.3221205883,-2.7902783938,362125.3403466560,NLOS
49.0000000000,0.0000000000,-134645.4009946650,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,1.2720000000,18421.4008001163,0.0000367163,0.0000000000,0.0000000000,226.9970694184,-3.0221466273,118.4269994274,LOS
31.0000000000,0.0000000000,-288522.2616506550,23.0000000000,22.0000000000,22.0000000000,24.0000000000,21.0000000000,-0.9320000000,17623.0272459499,0.0000000000,0.0000000000,0.0000000000,571.3770300671,-3.1916334070,142988.0129145570,LOS
28.0000000000,0.0000000000,-148042.3886209310,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,0.1550000000,18250.8511797897,0.0000000000,0.0000000000,0.0000000000,56.4469037727,-10.9744305164,2508.1398848332,NLOS
76.0000000000,0.0000000000,-166601.8400140180,30.0000000000,29.0000000000,29.0000000000,37.0000000000,19.0000000000,0.6330000000,18098.4608394578,-0.0000093456,0.0000000000,0.0000000000,101.2841938585,-18.5640808120,70.8609162122,NLOS
46.0000000000,0.0000000000,-105802.9679090900,29.0000000000,28.0000000000,28.0000000000,32.0000000000,20.0000000000,0.6910000000,17898.0774409174,0.0001937001,0.0000000000,0.0000000000,297.3193299547,-5.4296775796,143.5556462891,NLOS
66.0000000000,0.0000000000,-165735.1674460090,47.0000000000,46.0000000000,47.0000000000,48.0000000000,46.0000000000,0.7740000000,18528.0420757494,-0.0000067731,0.0000000000,0.0000000000,332.9397624172,0.8558326662,-24.6098744012,LOS
38.0000000000,0.0000000000,-189819.1244885770,46.0000000000,45.0000000000,47.0000000000,47.0000000000,45.0000000000,0.7710000000,17778.2713724784,-0.0000868466,0.0000000000,0.0000000000,416.7557440810,0.8406703509,53.9278014861,LOS
8.0000000000,0.0000000000,-187323.4644783360,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,0.7870000000,17608.5248042084,-0.0000783985,0.0000000000,0.0000000000,586.5747417435,0.8386951461,90.9330554120,LOS
32.0000000000,0.0000000000,-525876.8714230910,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,1.1330000000,18548.0109376758,0.0000000000,0.0000000000,0.0000000000,353.0070767365,-1.3150438517,362147.6188260540,NLOS
49.0000000000,0.0000000000,-152838.8836023360,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,1.4390000000,18423.4444148093,0.0000367163,0.0000000000,0.0000000000,228.4410991929,1.4440297745,116.9062914811,LOS
31.0000000000,0.0000000000,-306716.8613118670,23.0000000000,22.0000000000,23.0000000000,24.0000000000,21.0000000000,1.8400000000,17624.1964105367,0.0000000000,0.0000000000,0.0000000000,570.8074504025,0.5695796646,142987.6087148300,LOS
28.0000000000,0.0000000000,-166229.4130763410,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,2.4390000000,18249.9263182431,0.0000000000,0.0000000000,0.0000000000,54.9224573039,-1.5244464688,2500.1604793034,NLOS
76.0000000000,0.0000000000,-184791.4884339940,31.0000000000,30.0000000000,30.0000000000,37.0000000000,19.0000000000,1.0410000000,18099.0073465891,-0.0000093456,0.0000000000,0.0000000000,101.4494443052,-0.1652504466,64.3065786958,NLOS
46.0000000000,0.0000000000,-123988.6861109800,29.0000000000,28.0000000000,29.0000000000,32.0000000000,20.0000000000,0.5370000000,17898.5989528931,0.0001937002,0.0000000000,0.0000000000,304.2075497806,-6.8882198259,133.0763109662,NLOS
66.0000000000,0.0000000000,-183930.5638995500,46.0000000000,46.0000000000,47.0000000000,48.0000000000,46.0000000000,0.8850000000,18528.6281879767,-0.0000067731,0.0000000000,0.0000000000,332.3131397888,-0.6266226284,-25.4164183140,LOS
38.0000000000,0.0000000000,-208014.7797436410,46.0000000000,45.0000000000,46.0000000000,47.0000000000,45.0000000000,0.8660000000,17778.8346615880,-0.0000868466,0.0000000000,0.0000000000,417.4081630148,-0.6524189338,53.3801837824,LOS
8.0000000000,0.0000000000,-205519.6739112730,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,0.7310000000,17609.0508056990,-0.0000783985,0.0000000000,0.0000000000,587.2373181768,-0.6625764333,90.9359406419,LOS
32.0000000000,0.0000000000,-544090.6936077020,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,0.3100000000,18545.9169115461,0.0000000000,0.0000000000,0.0000000000,349.7138807811,-3.2931959555,362165.2379799000,NLOS
49.0000000000,0.0000000000,-171033.2381065330,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,0.3750000000,18424.6550986953,0.0000367163,0.0000000000,0.0000000000,228.4526132494,0.0115140565,115.0583102331,LOS
31.0000000000,0.0000000000,-324911.1410907240,23.0000000000,22.0000000000,23.0000000000,24.0000000000,21.0000000000,-0.5120000000,17624.8420685939,0.0000000000,0.0000000000,0.0000000000,571.3609621711,-0.5535117686,142985.6854629210,LOS
28.0000000000,0.0000000000,-184424.4479119880,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,0.0080000000,18259.4366869181,0.0000000000,0.0000000000,0.0000000000,63.2336561531,8.3111988492,2498.9922841862,NLOS
77.0000000000,0.0000000000,-202984.0714887000,31.0000000000,31.0000000000,31.0000000000,37.0000000000,19.0000000000,1.8890000000,18100.9210738576,-0.0000093456,0.0000000000,0.0000000000,99.3016416915,2.1478026137,60.3870834522,NLOS
46.0000000000,0.0000000000,-142179.1335443220,30.0000000000,29.0000000000,29.0000000000,32.0000000000,20.0000000000,2.2520000000,17900.4391587786,0.0001937002,0.0000000000,0.0000000000,300.5673409775,3.6402088031,127.0264146402,NLOS
66.0000000000,0.0000000000,-202127.9496908630,46.0000000000,45.0000000000,47.0000000000,48.0000000000,45.0000000000,2.0430000000,18530.5630127452,-0.0000067731,0.0000000000,0.0000000000,333.9360937253,1.6229539365,-24.5334169082,LOS
38.0000000000,0.0000000000,-226212.2322912510,46.0000000000,45.0000000000,46.0000000000,47.0000000000,45.0000000000,1.9860000000,17780.7034834139,-0.0000868466,0.0000000000,0.0000000000,415.8631047234,1.5450582914,54.3300661668,LOS
8.0000000000,0.0000000000,-223717.3302050710,44.0000000000,43.0000000000,44.0000000000,45.0000000000,43.0000000000,1.9490000000,17610.8927899263,-0.0000783985,0.0000000000,0.0000000000,585.6544311978,1.5828869790,92.0858942755,LOS
32.0000000000,0.0000000000,-562302.4956089100,33.0000000000,32.0000000000,33.0000000000,33.0000000000,24.0000000000,2.8670000000,18542.9852749668,0.0000000000,0.0000000000,0.0000000000,346.4824517407,-3.2314290404,362180.5371578820,NLOS
49.0000000000,0.0000000000,-189229.2485123610,46.0000000000,45.0000000000,46.0000000000,46.0000000000,45.0000000000,2.5000000000,18426.1581037864,0.0000367163,0.0000000000,0.0000000000,229.6558258794,1.2032126300,114.5664381534,LOS
31.0000000000,0.0000000000,-343109.6268550940,24.0000000000,23.0000000000,23.0000000000,24.0000000000,21.0000000000,3.1740000000,17629.0999217182,0.0000000000,0.0000000000,0.0000000000,567.4029015079,3.9580606632,142987.6684040650,LOS
28.0000000000,0.0000000000,-202621.1120900620,22.0000000000,21.0000000000,22.0000000000,22.0000000000,20.0000000000,3.1190000000,18260.4313493221,0.0000000000,0.0000000000,0.0000000000,63.9285260960,0.6948699430,2499.1536390334,NLOS
77.0000000000,0.0000000000,-221178.2801237060,32.0000000000,31.0000000000,31.0000000000,37.0000000000,19.0000000000,-0.5180000000,18101.2925050705,-0.0000093456,0.0000000000,0.0000000000,98.7623483837,0.5392933078,57.4935835935,NLOS
26.0000000000,0.0000000000,-173234.2523747080,14.0000000000,0.0000000000,0.0000000000,14.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,22013745.8977852000,22013745.8977852000,-45084.8084844648,NLOS
46.0000000000,0.0000000000,-160371.8710413910,31.0000000000,30.0000000000,30.0000000000,32.0000000000,20.0000000000,-0.7260000000,17900.7091732770,0.0001937002,0.0000000000,0.0000000000,299.6662090309,0.9011319466,122.6669971235,NLOS
